"","block","plot","species","functional_div","species_richness","genus","group","PLOTID","X","Y","MONO","rel.abund.gym","UniqueID","biomass","volume","Wd","Seed.mass","LMA","Nmass","Amass","Llo"
"X516","D","2NR2B","PIST",2,2,"Pinus","Gymno","D2NR2B",11,4,"notmono",1,"D2NR2BPIST",234517.377013289,689756.991215556,0.34,17,121.9153937,1.423333333,43.79823667,20
"X539","D","2NR4","LALA",4,2,"Larix","Gymno","D2NR4",7,4,"notmono",1,"D2NR4LALA",933483.301409944,1905067.96206111,0.49,2,120.0000005,1.355,59.41951,6
"s321","D","2NR4","PIGL",4,2,"Picea","Gymno","D2NR4",7,4,"notmono",1,"D2NR4PIGL",30068.5956593,91116.9565433333,0.33,2.4,302.86,1.28,35.58,50
"X483","D","2NR5","BEPA",5,2,"Betula","Angio","D2NR5",8,1,"notmono",0.5,"D2NR5BEPA",1216851.20177664,2535106.670368,0.48,0.3,85.50806324,2.208401667,195,5.5
"X492","D","2NR5","PIST",5,2,"Pinus","Gymno","D2NR5",8,1,"notmono",0.5,"D2NR5PIST",39156.7415076177,115166.886787111,0.34,17,121.9153937,1.423333333,43.79823667,20
"X530","D","2NR7A","ABBA",7,2,"Abies","Gymno","D2NR7A",10,8,"notmono",0.5,"D2NR7AABBA",52897.3524749267,160295.007499778,0.33,7.6,143,1.45,50,84
"s313","D","2NR7A","ACSA",7,2,"Acer","Angio","D2NR7A",10,8,"notmono",0.5,"D2NR7AACSA",403157.540167947,719924.178871333,0.56,55.2,70.62731781,1.831675,84.5819209,5.5
"X548","D","2NR7B","ACRU",7,2,"Acer","Angio","D2NR7B",7,3,"notmono",0.5,"D2NR7BACRU",341312.786778444,696556.707711111,0.49,23.7,71.09370696,1.913837571,111.1536882,5.566666667
"X542","D","2NR7B","THOC",7,2,"Thuya","Gymno","D2NR7B",7,3,"notmono",0.5,"D2NR7BTHOC",51839.3709705999,172797.903235333,0.3,1.5,223.0000016,1.02,32.22441,33
"s316","D","4N1","ABBA",1,4,"Abies","Gymno","D4N1",11,8,"notmono",1,"D4N1ABBA",169790.038080667,514515.266911111,0.33,7.6,143,1.45,50,84
"X537","D","4N1","PIGL",1,4,"Picea","Gymno","D4N1",11,8,"notmono",1,"D4N1PIGL",114484.37282084,346922.341881333,0.33,2.4,302.86,1.28,35.58,50
"X529","D","4N1","PIRE",1,4,"Pinus","Gymno","D4N1",11,8,"notmono",1,"D4N1PIRE",207371.961804267,505785.272693333,0.41,9,294.12,1.17,24,36
"X555","D","4N1","PIRU",1,4,"Picea","Gymno","D4N1",11,8,"notmono",1,"D4N1PIRU",86753.8984627732,234469.995845333,0.37,3.3,263,1.2,32,55
"X532","D","4N2","ACRU",2,4,"Acer","Angio","D4N2",12,5,"notmono",0,"D4N2ACRU",112447.152682667,229483.985066667,0.49,23.7,71.09370696,1.913837571,111.1536882,5.566666667
"X478","D","4N2","BEAL",2,4,"Betula","Angio","D4N2",12,5,"notmono",0,"D4N2BEAL",64709.1769744442,117653.049044444,0.55,1,46.08294931,2.2,206,5.5
"X491","D","4N2","BEPA",2,4,"Betula","Angio","D4N2",12,5,"notmono",0,"D4N2BEPA",958821.87489024,1997545.572688,0.48,0.3,85.50806324,2.208401667,195,5.5
"X480","D","4N2","QURU",2,4,"Quercus","Angio","D4N2",12,5,"notmono",0,"D4N2QURU",574120.626361957,1025215.40421778,0.56,3143,88.02929621,2.030464833,148.5518182,6.000673539
"X466","D","4N3","BEAL",3,4,"Betula","Angio","D4N3",8,7,"notmono",0.75,"D4N3BEAL",887493.77948489,1613625.05360889,0.55,1,46.08294931,2.2,206,5.5
"s317","D","4N3","PIRE",3,4,"Pinus","Gymno","D4N3",8,7,"notmono",0.75,"D4N3PIRE",96930.62181324,236416.150764,0.41,9,294.12,1.17,24,36
"X547","D","4N3","PIRU",3,4,"Picea","Gymno","D4N3",8,7,"notmono",0.75,"D4N3PIRU",40387.1570926889,109154.478628889,0.37,3.3,263,1.2,32,55
"s320","D","4N3","PIST",3,4,"Pinus","Gymno","D4N3",8,7,"notmono",0.75,"D4N3PIST",94108.1155936891,276788.575275556,0.34,17,121.9153937,1.423333333,43.79823667,20
"X497","D","4N4","ABBA",4,4,"Abies","Gymno","D4N4",11,1,"notmono",0.75,"D4N4ABBA",41964.3316708001,127164.641426667,0.33,7.6,143,1.45,50,84
"X553","D","4N4","BEPA",4,4,"Betula","Angio","D4N4",11,1,"notmono",0.75,"D4N4BEPA",893543.367018667,1861548.68128889,0.48,0.3,85.50806324,2.208401667,195,5.5
"X531","D","4N4","LALA",4,4,"Larix","Gymno","D4N4",11,1,"notmono",0.75,"D4N4LALA",683437.378808332,1394770.16083333,0.49,2,120.0000005,1.355,59.41951,6
"s341","D","4N4","PIGL",4,4,"Picea","Gymno","D4N4",11,1,"notmono",0.75,"D4N4PIGL",40231.3973419601,121913.325278667,0.33,2.4,302.86,1.28,35.58,50
"s360","D","4N5","ABBA",5,4,"Abies","Gymno","D4N5",12,9,"notmono",0.75,"D4N5ABBA",120139.645912293,364059.533067556,0.33,7.6,143,1.45,50,84
"s314","D","4N5","ACSA",5,4,"Acer","Angio","D4N5",12,9,"notmono",0.75,"D4N5ACSA",211753.086934542,378130.512383111,0.56,55.2,70.62731781,1.831675,84.5819209,5.5
"X562","D","4N5","PIGL",5,4,"Picea","Gymno","D4N5",12,9,"notmono",0.75,"D4N5PIGL",152617.272280733,462476.582668889,0.33,2.4,302.86,1.28,35.58,50
"X477","D","4N5","PIRU",5,4,"Picea","Gymno","D4N5",12,9,"notmono",0.75,"D4N5PIRU",132417.940974378,357886.326957778,0.37,3.3,263,1.2,32,55
"X467","D","4N6","LALA",6,4,"Larix","Gymno","D4N6",9,9,"notmono",0.75,"D4N6LALA",700385.133552532,1429357.41541333,0.49,2,120.0000005,1.355,59.41951,6
"X464","D","4N6","PIST",6,4,"Pinus","Gymno","D4N6",9,9,"notmono",0.75,"D4N6PIST",44839.2465097332,131880.136793333,0.34,17,121.9153937,1.423333333,43.79823667,20
"s356","D","4N6","QURU",6,4,"Quercus","Angio","D4N6",9,9,"notmono",0.75,"D4N6QURU",1484464.30586844,2650829.11762222,0.56,3143,88.02929621,2.030464833,148.5518182,6.000673539
"X522","D","4N6","THOC",6,4,"Thuya","Gymno","D4N6",9,9,"notmono",0.75,"D4N6THOC",27714.8535886667,92382.8452955556,0.3,1.5,223.0000016,1.02,32.22441,33
"s354","D","4N7","ACRU",7,4,"Acer","Angio","D4N7",11,2,"notmono",0.5,"D4N7ACRU",335561.606133133,684819.604353333,0.49,23.7,71.09370696,1.913837571,111.1536882,5.566666667
"X468","D","4N7","PIST",7,4,"Pinus","Gymno","D4N7",11,2,"notmono",0.5,"D4N7PIST",70086.6298258668,206137.146546667,0.34,17,121.9153937,1.423333333,43.79823667,20
"X554","D","4N7","QURU",7,4,"Quercus","Angio","D4N7",11,2,"notmono",0.5,"D4N7QURU",876726.367990043,1565582.79998222,0.56,3143,88.02929621,2.030464833,148.5518182,6.000673539
"X528","D","4N7","THOC",7,4,"Thuya","Gymno","D4N7",11,2,"notmono",0.5,"D4N7THOC",32411.05677,108036.8559,0.3,1.5,223.0000016,1.02,32.22441,33
"s324","D","4N8","ACSA",8,4,"Acer","Angio","D4N8",12,3,"notmono",0.5,"D4N8ACSA",198846.043685334,355082.220866667,0.56,55.2,70.62731781,1.831675,84.5819209,5.5
"X563","D","4N8","BEAL",8,4,"Betula","Angio","D4N8",12,3,"notmono",0.5,"D4N8BEAL",488948.638884444,888997.525244444,0.55,1,46.08294931,2.2,206,5.5
"X546","D","4N8","PIGL",8,4,"Picea","Gymno","D4N8",12,3,"notmono",0.5,"D4N8PIGL",109187.72955772,330871.907750667,0.33,2.4,302.86,1.28,35.58,50
"X545","D","4N8","THOC",8,4,"Thuya","Gymno","D4N8",12,3,"notmono",0.5,"D4N8THOC",106441.9369864,354806.456621333,0.3,1.5,223.0000016,1.02,32.22441,33
"s336","D","4NR2","PIGL",2,4,"Picea","Gymno","D4NR2",9,5,"notmono",1,"D4NR2PIGL",111592.045227667,338157.712811111,0.33,2.4,302.86,1.28,35.58,50
"s352","D","4NR2","PIRE",2,4,"Pinus","Gymno","D4NR2",9,5,"notmono",1,"D4NR2PIRE",227633.794395431,555204.376574222,0.41,9,294.12,1.17,24,36
"X469","D","4NR2","PIRU",2,4,"Picea","Gymno","D4NR2",9,5,"notmono",1,"D4NR2PIRU",56291.7946192132,152139.985457333,0.37,3.3,263,1.2,32,55
"s344","D","4NR2","PIST",2,4,"Pinus","Gymno","D4NR2",9,5,"notmono",1,"D4NR2PIST",325867.224328578,958433.012731111,0.34,17,121.9153937,1.423333333,43.79823667,20
"s330","D","4NR7","ACSA",7,4,"Acer","Angio","D4NR7",9,3,"notmono",0.5,"D4NR7ACSA",143591.432398151,256413.272139556,0.56,55.2,70.62731781,1.831675,84.5819209,5.5
"X540","D","4NR7","BEPA",7,4,"Betula","Angio","D4NR7",9,3,"notmono",0.5,"D4NR7BEPA",1715402.39274432,3573754.984884,0.48,0.3,85.50806324,2.208401667,195,5.5
"s326","D","4NR7","PIGL",7,4,"Picea","Gymno","D4NR7",9,3,"notmono",0.5,"D4NR7PIGL",30475.9782763333,92351.4493222222,0.33,2.4,302.86,1.28,35.58,50
"X521","D","4NR7","PIST",7,4,"Pinus","Gymno","D4NR7",9,3,"notmono",0.5,"D4NR7PIST",54451.4544186132,160151.336525333,0.34,17,121.9153937,1.423333333,43.79823667,20
"X525","D","ABBA","ABBA",0,1,"Abies","Gymno","DABBA",7,1,"mono",1,"DABBAABBA",135662.987647513,411099.962568222,0.33,7.6,143,1.45,50,84
"X465","D","ACPL","ACPL",0,1,"Acer","Angio","DACPL",7,8,"mono",0,"DACPLACPL",540258.260636505,1045998.56851211,0.5165,130.3,46.44681839,1.62,83.07,6.000673539
"s319","D","ACRU","ACRU",0,1,"Acer","Angio","DACRU",8,2,"mono",0,"DACRUACRU",402115.236846416,820643.340502889,0.49,23.7,71.09370696,1.913837571,111.1536882,5.566666667
"X527","D","ACSA","ACSA",0,1,"Acer","Angio","DACSA",9,6,"mono",0,"DACSAACSA",337169.029596311,602087.552850556,0.56,55.2,70.62731781,1.831675,84.5819209,5.5
"s318","D","BEAL","BEAL",0,1,"Betula","Angio","DBEAL",10,5,"mono",0,"DBEALBEAL",339103.79002335,616552.345497,0.55,1,46.08294931,2.2,206,5.5
"X489","D","BEPA","BEPA",0,1,"Betula","Angio","DBEPA",8,4,"mono",0,"DBEPABEPA",491304.782240107,1023551.62966689,0.48,0.3,85.50806324,2.208401667,195,5.5
"X518","D","LADE","LADE",0,1,"Larix","Gymno","DLADE",12,1,"mono",1,"DLADELADE",529769.33061623,1118718.89054214,0.47355,7.1,86.28640264,1.955,71.616275,6.000336769
"X510","D","LALA","LALA",0,1,"Larix","Gymno","DLALA",9,8,"mono",1,"DLALALALA",552229.757098562,1126999.50428278,0.49,2,120.0000005,1.355,59.41951,6
"X520","D","M1","ACPL",1,4,"Acer","Angio","DM1",9,4,"notmono",0,"DM1ACPL",310191.10182755,600563.6047,0.5165,130.3,46.44681839,1.62,83.07,6.000673539
"X552","D","M1","ACRU",1,4,"Acer","Angio","DM1",9,4,"notmono",0,"DM1ACRU",364506.004666689,743889.805442222,0.49,23.7,71.09370696,1.913837571,111.1536882,5.566666667
"X561","D","M1","BEAL",1,4,"Betula","Angio","DM1",9,4,"notmono",0,"DM1BEAL",175027.750431875,318232.2735125,0.55,1,46.08294931,2.2,206,5.5
"s357","D","M1","TICO",1,4,"Tilia","Angio","DM1",9,4,"notmono",0,"DM1TICO",257975.567066025,611475.8990875,0.42189,50.9,49.1117001,2.125,83.85,4.799544249
"s346","D","M2","LALA",2,4,"Larix","Gymno","DM2",12,2,"notmono",1,"DM2LALA",1025225.78711236,2092297.52471911,0.49,2,120.0000005,1.355,59.41951,6
"X536","D","M2","PIAB",2,4,"Picea","Gymno","DM2",12,2,"notmono",1,"DM2PIAB",74755.19234208,202041.060384,0.37,7,235.18,1.19,29.31,103.2
"X505","D","M2","PIRU",2,4,"Picea","Gymno","DM2",12,2,"notmono",1,"DM2PIRU",30143.2159489333,81468.1512133333,0.37,3.3,263,1.2,32,55
"s390","D","M2","PISY",2,4,"Pinus","Gymno","DM2",12,2,"notmono",1,"DM2PISY",135956.891741718,322172.729245778,0.422,6,292.7551279,1.217940293,36.85035,27.90024909
"s337","D","M3","LADE",3,4,"Larix","Gymno","DM3",11,7,"notmono",0.75,"DM3LADE",232325.48337999,490603.9138,0.47355,7.1,86.28640264,1.955,71.616275,6.000336769
"s349","D","M3","PIRE",3,4,"Pinus","Gymno","DM3",11,7,"notmono",0.75,"DM3PIRE",18021.906761705,43955.8701505,0.41,9,294.12,1.17,24,36
"s342","D","M3","PISY",3,4,"Pinus","Gymno","DM3",11,7,"notmono",0.75,"DM3PISY",57196.0643710703,135535.697561778,0.422,6,292.7551279,1.217940293,36.85035,27.90024909
"s350","D","M3","QURU",3,4,"Quercus","Angio","DM3",11,7,"notmono",0.75,"DM3QURU",1275964.6558721,2278508.31405733,0.56,3143,88.02929621,2.030464833,148.5518182,6.000673539
"s333","D","M4","PIAB",4,4,"Picea","Gymno","DM4",10,6,"notmono",1,"DM4PIAB",150689.939172311,407270.105871111,0.37,7,235.18,1.19,29.31,103.2
"s339","D","M4","PIGL",4,4,"Picea","Gymno","DM4",10,6,"notmono",1,"DM4PIGL",87595.9164267733,265442.170990222,0.33,2.4,302.86,1.28,35.58,50
"X496","D","M4","PISY",4,4,"Pinus","Gymno","DM4",10,6,"notmono",1,"DM4PISY",453308.298410761,1074190.28059422,0.422,6,292.7551279,1.217940293,36.85035,27.90024909
"s348","D","M4","THOC",4,4,"Thuya","Gymno","DM4",10,6,"notmono",1,"DM4THOC",188138.7520084,627129.173361333,0.3,1.5,223.0000016,1.02,32.22441,33
"s340","D","M5","PIGL",5,4,"Picea","Gymno","DM5",11,5,"notmono",0.5,"DM5PIGL",34975.3030396001,105985.766786667,0.33,2.4,302.86,1.28,35.58,50
"s347","D","M5","PIST",5,4,"Pinus","Gymno","DM5",11,5,"notmono",0.5,"DM5PIST",169197.214647022,497638.866608889,0.34,17,121.9153937,1.423333333,43.79823667,20
"X515","D","M5","QURO",5,4,"Quercus","Angio","DM5",11,5,"notmono",0.5,"DM5QURO",648482.930872247,1158005.23370044,0.56,3378,64.85453931,1.86,85.1,6.000673539
"s343","D","M5","TICO",5,4,"Tilia","Angio","DM5",11,5,"notmono",0.5,"DM5TICO",173150.200687719,410415.512782286,0.42189,50.9,49.1117001,2.125,83.85,4.799544249
"X463","D","M6","BEPA",6,4,"Betula","Angio","DM6",7,9,"notmono",0.5,"DM6BEPA",2040889.46928021,4251853.06100044,0.48,0.3,85.50806324,2.208401667,195,5.5
"X487","D","M6","PIRU",6,4,"Picea","Gymno","DM6",7,9,"notmono",0.5,"DM6PIRU",20504.2418136667,55416.8697666667,0.37,3.3,263,1.2,32,55
"X500","D","M6","PISY",6,4,"Pinus","Gymno","DM6",7,9,"notmono",0.5,"DM6PISY",41653.3644461714,98704.6550857143,0.422,6,292.7551279,1.217940293,36.85035,27.90024909
"X498","D","M6","QURO",6,4,"Quercus","Angio","DM6",7,9,"notmono",0.5,"DM6QURO",516294.7455904,921954.90284,0.56,3378,64.85453931,1.86,85.1,6.000673539
"X549","D","M7","ACPL",7,4,"Acer","Angio","DM7",9,7,"notmono",0.25,"DM7ACPL",467339.333879211,904819.620288889,0.5165,130.3,46.44681839,1.62,83.07,6.000673539
"X494","D","M7","ACSA",7,4,"Acer","Angio","DM7",9,7,"notmono",0.25,"DM7ACSA",148965.457226134,266009.745046667,0.56,55.2,70.62731781,1.831675,84.5819209,5.5
"X551","D","M7","BEPA",7,4,"Betula","Angio","DM7",9,7,"notmono",0.25,"DM7BEPA",1138171.17163883,2371189.94091422,0.48,0.3,85.50806324,2.208401667,195,5.5
"X550","D","M7","PIOM",7,4,"Picea","Gymno","DM7",9,7,"notmono",0.25,"DM7PIOM",2290.2739335,6361.8720375,0.36,2.9,285.7299176,1.182903124,29.39155,61.88640351
"s322","D","M8","ACPL",8,4,"Acer","Angio","DM8",10,1,"notmono",0.5,"DM8ACPL",263925.317230552,510988.029488,0.5165,130.3,46.44681839,1.62,83.07,6.000673539
"s329","D","M8","BEPA",8,4,"Betula","Angio","DM8",10,1,"notmono",0.5,"DM8BEPA",1305970.88730901,2720772.68189378,0.48,0.3,85.50806324,2.208401667,195,5.5
"s345","D","M8","PIAB",8,4,"Picea","Gymno","DM8",10,1,"notmono",0.5,"DM8PIAB",46240.8685419157,124975.320383556,0.37,7,235.18,1.19,29.31,103.2
"s325","D","M8","THOC",8,4,"Thuya","Gymno","DM8",10,1,"notmono",0.5,"DM8THOC",31045.8728773332,103486.242924444,0.3,1.5,223.0000016,1.02,32.22441,33
"X560","D","MM6A","ABBA",6,12,"Abies","Gymno","DMM6A",7,2,"notmono",0.5,"DMM6AABBA",21100.890448,63942.0922666667,0.33,7.6,143,1.45,50,84
"X473","D","MM6A","ACPL",6,12,"Acer","Angio","DMM6A",7,2,"notmono",0.5,"DMM6AACPL",361366.879394446,699645.458653333,0.5165,130.3,46.44681839,1.62,83.07,6.000673539
"s359","D","MM6A","ACRU",6,12,"Acer","Angio","DMM6A",7,2,"notmono",0.5,"DMM6AACRU",768360.40246,1568082.454,0.49,23.7,71.09370696,1.913837571,111.1536882,5.566666667
"X504","D","MM6A","ACSA",6,12,"Acer","Angio","DMM6A",7,2,"notmono",0.5,"DMM6AACSA",167638.322656,299354.1476,0.56,55.2,70.62731781,1.831675,84.5819209,5.5
"X556","D","MM6A","BEAL",6,12,"Betula","Angio","DMM6A",7,2,"notmono",0.5,"DMM6ABEAL",1302928.61951267,2368961.12638667,0.55,1,46.08294931,2.2,206,5.5
"s358","D","MM6A","LALA",6,12,"Larix","Gymno","DMM6A",7,2,"notmono",0.5,"DMM6ALALA",764357.805263732,1559913.88829333,0.49,2,120.0000005,1.355,59.41951,6
"X476","D","MM6A","PIAB",6,12,"Picea","Gymno","DMM6A",7,2,"notmono",0.5,"DMM6APIAB",35140.8807136,94975.35328,0.37,7,235.18,1.19,29.31,103.2
"X484","D","MM6A","PIOM",6,12,"Picea","Gymno","DMM6A",7,2,"notmono",0.5,"DMM6APIOM",10309.84299,28638.45275,0.36,2.9,285.7299176,1.182903124,29.39155,61.88640351
"X557","D","MM6A","PIRU",6,12,"Picea","Gymno","DMM6A",7,2,"notmono",0.5,"DMM6APIRU",17938.4851386667,48482.3922666667,0.37,3.3,263,1.2,32,55
"X499","D","MM6A","QURO",6,12,"Quercus","Angio","DMM6A",7,2,"notmono",0.5,"DMM6AQURO",1709553.03777066,3052773.28173333,0.56,3378,64.85453931,1.86,85.1,6.000673539
"X474","D","MM6A","TICO",6,12,"Tilia","Angio","DMM6A",7,2,"notmono",0.5,"DMM6ATICO",1003309.87232157,2378131.43786667,0.42189,50.9,49.1117001,2.125,83.85,4.799544249
"X508","D","MM6B","ACPL",5,12,"Acer","Angio","DMM6B",8,3,"notmono",0.75,"DMM6BACPL",753452.115613335,1458764.98666667,0.5165,130.3,46.44681839,1.62,83.07,6.000673539
"s334","D","MM6B","BEPA",5,12,"Betula","Angio","DMM6B",8,3,"notmono",0.75,"DMM6BBEPA",2352597.6056,4901245.01166667,0.48,0.3,85.50806324,2.208401667,195,5.5
"X502","D","MM6B","LADE",5,12,"Larix","Gymno","DMM6B",8,3,"notmono",0.75,"DMM6BLADE",124716.96535375,263365.991666667,0.47355,7.1,86.28640264,1.955,71.616275,6.000336769
"X524","D","MM6B","PIAB",5,12,"Picea","Gymno","DMM6B",8,3,"notmono",0.75,"DMM6BPIAB",26685.08561,72121.853,0.37,7,235.18,1.19,29.31,103.2
"X503","D","MM6B","PIGL",5,12,"Picea","Gymno","DMM6B",8,3,"notmono",0.75,"DMM6BPIGL",37418.8811149999,113390.548833333,0.33,2.4,302.86,1.28,35.58,50
"X559","D","MM6B","PIOM",5,12,"Picea","Gymno","DMM6B",8,3,"notmono",0.75,"DMM6BPIOM",3099.3249792,8609.23605333333,0.36,2.9,285.7299176,1.182903124,29.39155,61.88640351
"s291","D","MM6B","PIRE",5,12,"Pinus","Gymno","DMM6B",8,3,"notmono",0.75,"DMM6BPIRE",43706.7421,106601.81,0.41,9,294.12,1.17,24,36
"X501","D","MM6B","PIST",5,12,"Pinus","Gymno","DMM6B",8,3,"notmono",0.75,"DMM6BPIST",71028.6972589868,208907.933114667,0.34,17,121.9153937,1.423333333,43.79823667,20
"s289","D","MM6B","PISY",5,12,"Pinus","Gymno","DMM6B",8,3,"notmono",0.75,"DMM6BPISY",62272.2995738665,147564.690933333,0.422,6,292.7551279,1.217940293,36.85035,27.90024909
"X509","D","MM6B","QURU",5,12,"Quercus","Angio","DMM6B",8,3,"notmono",0.75,"DMM6BQURU",952155.465893335,1700277.61766667,0.56,3143,88.02929621,2.030464833,148.5518182,6.000673539
"X517","D","MM6B","THOC",5,12,"Thuya","Gymno","DMM6B",8,3,"notmono",0.75,"DMM6BTHOC",43770.4405700001,145901.468566667,0.3,1.5,223.0000016,1.02,32.22441,33
"X495","D","MM6B","TICO",5,12,"Tilia","Angio","DMM6B",8,3,"notmono",0.75,"DMM6BTICO",612057.853375773,1450752.21829333,0.42189,50.9,49.1117001,2.125,83.85,4.799544249
"s315","D","PIAB","PIAB",0,1,"Picea","Gymno","DPIAB",8,9,"mono",1,"DPIABPIAB",163840.775595714,442812.907015444,0.37,7,235.18,1.19,29.31,103.2
"X493","D","PIGL","PIGL",0,1,"Picea","Gymno","DPIGL",7,7,"mono",1,"DPIGLPIGL",144330.353818347,437364.708540444,0.33,2.4,302.86,1.28,35.58,50
"s355","D","PIOM","PIOM",0,1,"Picea","Gymno","DPIOM",12,4,"mono",1,"DPIOMPIOM",20869.0747146,57969.651985,0.36,2.9,285.7299176,1.182903124,29.39155,61.88640351
"X485","D","PIRE","PIRE",0,1,"Pinus","Gymno","DPIRE",11,9,"mono",1,"DPIREPIRE",173234.865678209,422524.062629778,0.41,9,294.12,1.17,24,36
"X535","D","PIRU","PIRU",0,1,"Picea","Gymno","DPIRU",9,1,"mono",1,"DPIRUPIRU",104612.525118709,282736.554374889,0.37,3.3,263,1.2,32,55
"X471","D","PIST","PIST",0,1,"Pinus","Gymno","DPIST",12,7,"mono",1,"DPISTPIST",214112.769502533,629743.439713333,0.34,17,121.9153937,1.423333333,43.79823667,20
"X526","D","PISY","PISY",0,1,"Pinus","Gymno","DPISY",7,6,"mono",1,"DPISYPISY",277053.367401227,656524.567301486,0.422,6,292.7551279,1.217940293,36.85035,27.90024909
"X523","D","QURO","QURO",0,1,"Quercus","Angio","DQURO",10,2,"mono",0,"DQUROQURO",201701.074533696,360180.490238743,0.56,3378,64.85453931,1.86,85.1,6.000673539
"X534","D","QURU","QURU",0,1,"Quercus","Angio","DQURU",8,5,"mono",0,"DQURUQURU",392822.309773289,701468.410309445,0.56,3143,88.02929621,2.030464833,148.5518182,6.000673539
"s290","D","THOC","THOC",0,1,"Thuya","Gymno","DTHOC",8,6,"mono",1,"DTHOCTHOC",170108.838390233,567029.461300778,0.3,1.5,223.0000016,1.02,32.22441,33
"X488","D","TICO","TICO",0,1,"Tilia","Angio","DTICO",10,7,"mono",0,"DTICOTICO",466165.952013873,1104946.67333635,0.42189,50.9,49.1117001,2.125,83.85,4.799544249
